parcel_id,split,systeme,label,area_ha,B02_mean,B02_std,B03_mean,B03_std,B04_mean,B04_std,B08_mean,B08_std,B11_mean,B11_std,ndvi_mean,ndvi_std,ndvi_p25,ndvi_p75,ndwi_mean,ndwi_std,ndwi_p25,ndwi_p75,ndre_mean,ndre_std,ndre_p25,ndre_p75,glcm_contrast,glcm_homogeneity,nir_red_ratio
parcel_1777666247763_3i29v,train,extensif,0,58.115115913749065,1252.5372314453125,196.10447692871094,1962.9344482421875,299.7794494628906,2906.551025390625,476.505615234375,4090.611083984375,445.0350341796875,5150.40234375,413.0981140136719,0.17257463932037354,0.03933399170637131,0.1446111798286438,0.19639356434345245,-0.3534329831600189,0.03205966204404831,-0.373157799243927,-0.33310115337371826,-0.11598550528287888,0.02803039364516735,-0.13268902897834778,-0.09699689596891403,1110.3786796536797,0.06434749732877786,1.4228746891021729
parcel_1777666273477_7e680,train,extensif,0,54.66463616439917,1346.048828125,219.27760314941406,2079.91357421875,287.7000732421875,3032.48095703125,432.5301818847656,4234.451171875,374.63531494140625,5277.90380859375,387.4337463378906,0.16824977099895477,0.04615143686532974,0.14172670245170593,0.18315285444259644,-0.3429540991783142,0.03905448690056801,-0.3627549409866333,-0.32311829924583435,-0.11023183166980743,0.03359946981072426,-0.12962955236434937,-0.09440086781978607,1462.1260338983054,0.052345774945897455,1.413987636566162
parcel_1777666300643_1c2ue,train,extensif,0,49.28764309617389,1354.2896728515625,237.6075439453125,2056.882080078125,304.8580017089844,2980.33642578125,435.72662353515625,4119.47607421875,408.528076171875,5190.1728515625,379.5400695800781,0.16324695944786072,0.03551998734474182,0.14000526070594788,0.18065214157104492,-0.3359239399433136,0.03702235594391823,-0.35779231786727905,-0.31925803422927856,-0.116097591817379,0.030421365052461624,-0.13419048488140106,-0.09732425957918167,1295.5186761229315,0.055138080653040274,1.3947806358337402
parcel_1777666340373_juajr,train,extensif,0,303.20435155336753,1256.775146484375,157.2636260986328,1962.4644775390625,251.8521270751953,2996.0771484375,437.89617919921875,4071.659423828125,470.170166015625,5336.7822265625,445.0853271484375,0.15435443818569183,0.027100417762994766,0.13706167042255402,0.16686710715293884,-0.34982699155807495,0.030952824279665947,-0.3694264888763428,-0.33168813586235046,-0.13607895374298096,0.029253294691443443,-0.15006054937839508,-0.11716510355472565,1330.8456088271535,0.05334476496125151,1.3677421808242798
parcel_1777666373384_lm2rb,train,extensif,0,802.5649560894694,1256.493408203125,227.90228271484375,1907.41064453125,322.1997985839844,2839.01953125,536.3375854492188,3867.4306640625,607.10986328125,5118.90234375,596.63134765625,0.1563401222229004,0.030505763366818428,0.13725490868091583,0.172067791223526,-0.3393585979938507,0.0439259298145771,-0.3686481714248657,-0.3205537796020508,-0.14177057147026062,0.04997637867927551,-0.16333259642124176,-0.11623542755842209,823.058306293314,0.07028666299700485,1.3738657236099243
parcel_1777666392195_gp8ab,train,extensif,0,59.06211966714234,1302.794189453125,1185.318359375,2095.341552734375,1222.355224609375,3250.462890625,1282.6199951171875,4312.671875,1312.9036865234375,5639.65087890625,1336.8685302734375,0.14008265733718872,0.0240080114454031,0.12296418100595474,0.15445533394813538,-0.3428063988685608,0.030729515478014946,-0.36049142479896545,-0.3300943672657013,-0.13304992020130157,0.022773096337914467,-0.1481645256280899,-0.12015928328037262,2593.245096296296,0.044663894605222396,1.3280330896377563
parcel_1777666410382_4ozey,train,extensif,0,104.69984177156394,1263.1607666015625,130.81497192382812,2033.8746337890625,232.50511169433594,3173.607177734375,382.728515625,4260.052734375,389.0497741699219,5573.15576171875,301.9243469238281,0.14763672649860382,0.022403644397854805,0.1316620111465454,0.16192804276943207,-0.3545340895652771,0.020512202754616737,-0.3675554394721985,-0.34032273292541504,-0.1348896622657776,0.024336397647857666,-0.14931371808052063,-0.11747941374778748,1551.8693700433937,0.052285656743413844,1.3480634689331055
parcel_1777666449437_wci0q,train,extensif,0,253.9376947109025,1311.8487548828125,209.127197265625,2081.354736328125,282.92633056640625,3186.83984375,399.8138732910156,4283.74169921875,393.0330505371094,5524.60302734375,311.9669189453125,0.1485651135444641,0.025924930348992348,0.1298828125,0.16482359170913696,-0.34767967462539673,0.03163060173392296,-0.36784249544143677,-0.3311266303062439,-0.12780649960041046,0.02615220472216606,-0.14254406094551086,-0.11106757819652557,1704.033111507872,0.054425338080131155,1.3511991500854492
parcel_1777666485645_8qagw,train,extensif,0,990.7245079752144,1340.221435546875,173.5484161376953,2120.022705078125,321.2236328125,3279.98681640625,599.3777465820312,4362.01708984375,666.4684448242188,5624.11328125,535.1729736328125,0.14432217180728912,0.026496635749936104,0.12613430619239807,0.15669357776641846,-0.3452887237071991,0.027149086818099022,-0.36240503191947937,-0.32772400975227356,-0.1302565038204193,0.040268946439027786,-0.1470116525888443,-0.10360691696405411,521.5943696867959,0.07668552996124274,1.3397068977355957
parcel_1777666507054_wo1vk,train,extensif,0,778.7330248700009,1315.2745361328125,151.56143188476562,2110.36572265625,310.91455078125,3320.70166015625,614.9678955078125,4411.97021484375,673.5056762695312,5678.92529296875,547.2320556640625,0.14413702487945557,0.02969633974134922,0.12544170022010803,0.15512491762638092,-0.35190510749816895,0.028322305530309677,-0.3686479926109314,-0.3358169198036194,-0.12946389615535736,0.0422801673412323,-0.14076194167137146,-0.10416057705879211,584.1847172832574,0.07197118478888678,1.3399734497070312
parcel_1777666529889_rdkq2,train,extensif,0,1078.2700727821218,1374.9534912109375,169.04226684570312,2194.9638671875,279.3492431640625,3404.77392578125,517.0816040039062,4574.72021484375,500.2947692871094,5716.32958984375,487.4220275878906,0.14927572011947632,0.036309294402599335,0.12487992644309998,0.1644550859928131,-0.35194075107574463,0.031780682504177094,-0.37060415744781494,-0.33250367641448975,-0.11214971542358398,0.03302780166268349,-0.12706856429576874,-0.09498250484466553,740.722667346638,0.07119563829544442,1.3556327819824219
parcel_1777666572107_7pdad,train,extensif,0,1443.2951926499438,1445.6505126953125,166.725830078125,2323.058349609375,260.9544372558594,3605.51953125,468.75677490234375,4674.7734375,473.2322082519531,5892.06884765625,443.1705627441406,0.13082553446292877,0.026917677372694016,0.11309830844402313,0.14263565838336945,-0.3360915780067444,0.031001385301351547,-0.3554656505584717,-0.31922733783721924,-0.1164412721991539,0.028015006333589554,-0.12734736502170563,-0.10140188038349152,1052.7269340519974,0.06380584693240704,1.3033950328826904
parcel_1777666591451_o64cz,train,extensif,0,790.8698653056623,1357.8238525390625,194.69407653808594,2144.006103515625,300.4112854003906,3268.409912109375,529.9299926757812,4337.65087890625,502.1362609863281,5580.32421875,530.77587890625,0.14396820962429047,0.03676978871226311,0.12030890583992004,0.15461447834968567,-0.33946627378463745,0.03451275825500488,-0.360638290643692,-0.31574103236198425,-0.12621597945690155,0.03378424420952797,-0.14597642421722412,-0.10513587296009064,912.3578899056251,0.07434406952036873,1.3410253524780273
parcel_1777666608727_pm8wx,train,extensif,0,367.63711614930213,1239.3641357421875,2190.3544921875,2009.3131103515625,2254.444580078125,3114.18115234375,2371.956787109375,4171.7705078125,2427.6015625,5351.78271484375,2503.84765625,0.14421628415584564,0.049142986536026,0.11761949211359024,0.15583057701587677,-0.3356682062149048,0.043541088700294495,-0.3571881055831909,-0.3119608759880066,-0.12123597413301468,0.03490050882101059,-0.13759396970272064,-0.1029425784945488,572.1512246739909,0.07867894953941827,1.3485052585601807
